Project Name,Package Name,Architecture Smell,Cause of the Smell
.,org.pdfsam.alternatemix,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AlternateMixModule]; [ModuleConfig]; [AlternateMixParametersBuilder; AlternateMixSelectionPaneTest]; [AlternateMixSelectionPane]; [AlternateMixParametersBuilderTest]. LCC (Lack of Component Cohesion) = 0.83
.,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 6.59. All the dependencies among components: from: org.pdfsam.alternatemix to: org.pdfsam.ui.support; from: org.pdfsam.alternatemix to: org.pdfsam.i18n; from: org.pdfsam.alternatemix to: org.pdfsam.pdf; from: org.pdfsam to: org.pdfsam.ui; from: org.pdfsam to: org.pdfsam.ui.commons; from: org.pdfsam to: org.pdfsam.update; from: org.pdfsam to: org.pdfsam.news; from: org.pdfsam to: org.pdfsam.premium; from: org.pdfsam to: org.pdfsam.i18n; from: org.pdfsam to: org.pdfsam.ui.notification; from: org.pdfsam to: org.pdfsam.configuration; from: org.pdfsam to: org.pdfsam.context; from: org.pdfsam to: org.pdfsam.ui.dialog; from: org.pdfsam to: org.pdfsam.module; from: org.pdfsam to: org.pdfsam.ui.module; from: org.pdfsam to: org.pdfsam.test; from: org.pdfsam to: org.pdfsam.task; from: org.pdfsam to: org.pdfsam.pdf; from: org.pdfsam.basic to: org.pdfsam.alternatemix; from: org.pdfsam.basic to: org.pdfsam.extract; from: org.pdfsam.basic to: org.pdfsam.merge; from: org.pdfsam.basic to: org.pdfsam.rotate; from: org.pdfsam.basic to: org.pdfsam.split; from: org.pdfsam.basic to: org.pdfsam.splitbybookmarks; from: org.pdfsam.basic to: org.pdfsam.splitbysize; from: org.pdfsam.basic to: org.pdfsam; from: org.pdfsam.module to: org.pdfsam.test; from: org.pdfsam.news to: org.pdfsam.i18n; from: org.pdfsam.news to: org.pdfsam; from: org.pdfsam.news to: org.pdfsam.test; from: org.pdfsam.pdf to: org.pdfsam.i18n; from: org.pdfsam.pdf to: org.pdfsam.test; from: org.pdfsam.premium to: org.pdfsam.i18n; from: org.pdfsam.premium to: org.pdfsam; from: org.pdfsam.premium to: org.pdfsam.test; from: org.pdfsam.support to: org.pdfsam; from: org.pdfsam.support.io to: org.pdfsam.i18n; from: org.pdfsam.support.params to: org.pdfsam.i18n; from: org.pdfsam.task to: org.pdfsam; from: org.pdfsam.task to: org.pdfsam.module; from: org.pdfsam.ui to: org.pdfsam; from: org.pdfsam.ui to: org.pdfsam.test; from: org.pdfsam.ui to: org.pdfsam.ui.commons; from: org.pdfsam.ui to: org.pdfsam.ui.event; from: org.pdfsam.ui to: org.pdfsam.module; from: org.pdfsam.ui to: org.pdfsam.ui.workarea; from: org.pdfsam.ui to: org.pdfsam.ui.dashboard; from: org.pdfsam.ui to: org.pdfsam.i18n; from: org.pdfsam.ui to: org.pdfsam.ui.workspace; from: org.pdfsam.update to: org.pdfsam.i18n; from: org.pdfsam.update to: org.pdfsam.test; from: org.pdfsam.update to: org.pdfsam; from: org.pdfsam.extract to: org.pdfsam.ui.support; from: org.pdfsam.extract to: org.pdfsam.i18n; from: org.pdfsam.extract to: org.pdfsam.support.params; from: org.pdfsam.extract to: org.pdfsam.ui.commons; from: org.pdfsam.extract to: org.pdfsam.pdf; from: org.pdfsam.ui.commons to: org.pdfsam.i18n; from: org.pdfsam.ui.commons to: org.pdfsam.ui.help; from: org.pdfsam.ui.commons to: org.pdfsam.pdf; from: org.pdfsam.ui.commons to: org.pdfsam.support.validation; from: org.pdfsam.ui.io to: org.pdfsam.i18n; from: org.pdfsam.ui.io to: org.pdfsam.support.validation; from: org.pdfsam.ui.io to: org.pdfsam.ui.support; from: org.pdfsam.ui.io to: org.pdfsam.support.params; from: org.pdfsam.ui.io to: org.pdfsam.ui.commons; from: org.pdfsam.ui.io to: org.pdfsam.context; from: org.pdfsam.ui.io to: org.pdfsam.test; from: org.pdfsam.ui.module to: org.pdfsam.i18n; from: org.pdfsam.ui.module to: org.pdfsam.module; from: org.pdfsam.ui.module to: org.pdfsam.ui.commons; from: org.pdfsam.ui.module to: org.pdfsam.test; from: org.pdfsam.ui.module to: org.pdfsam.pdf; from: org.pdfsam.ui.notification to: org.pdfsam.i18n; from: org.pdfsam.ui.notification to: org.pdfsam.module; from: org.pdfsam.ui.notification to: org.pdfsam; from: org.pdfsam.ui.notification to: org.pdfsam.context; from: org.pdfsam.ui.prefix to: org.pdfsam.i18n; from: org.pdfsam.ui.prefix to: org.pdfsam.module; from: org.pdfsam.ui.prefix to: org.pdfsam.support.params; from: org.pdfsam.ui.prefix to: org.pdfsam.context; from: org.pdfsam.ui.selection to: org.pdfsam.i18n; from: org.pdfsam.ui.selection to: org.pdfsam.pdf; from: org.pdfsam.ui.selection.multiple to: org.pdfsam.ui.commons; from: org.pdfsam.ui.selection.multiple to: org.pdfsam.i18n; from: org.pdfsam.ui.selection.multiple to: org.pdfsam.ui.selection.multiple.move; from: org.pdfsam.ui.selection.multiple to: org.pdfsam.pdf; from: org.pdfsam.ui.selection.multiple to: org.pdfsam.support.params; from: org.pdfsam.ui.selection.multiple to: org.pdfsam.ui.io; from: org.pdfsam.ui.selection.multiple to: org.pdfsam.support; from: org.pdfsam.ui.selection.single to: org.pdfsam.ui.commons; from: org.pdfsam.ui.selection.single to: org.pdfsam.i18n; from: org.pdfsam.ui.selection.single to: org.pdfsam.pdf; from: org.pdfsam.ui.selection.single to: org.pdfsam.ui.io; from: org.pdfsam.ui.selection.single to: org.pdfsam.support; from: org.pdfsam.ui.support to: org.pdfsam.support.validation; from: org.pdfsam.configuration to: org.pdfsam.i18n; from: org.pdfsam.configuration to: org.pdfsam.test; from: org.pdfsam.sound to: org.pdfsam.test; from: org.pdfsam.ui.banner to: org.pdfsam.i18n; from: org.pdfsam.ui.banner to: org.pdfsam.ui.dashboard; from: org.pdfsam.ui.banner to: org.pdfsam.news; from: org.pdfsam.ui.banner to: org.pdfsam.ui.commons; from: org.pdfsam.ui.banner to: org.pdfsam.ui.io; from: org.pdfsam.ui.banner to: org.pdfsam.ui.event; from: org.pdfsam.ui.banner to: org.pdfsam.test; from: org.pdfsam.ui.banner to: org.pdfsam.ui; from: org.pdfsam.ui.banner to: org.pdfsam.ui.workspace; from: org.pdfsam.ui.dashboard.about to: org.pdfsam.i18n; from: org.pdfsam.ui.dashboard.about to: org.pdfsam.ui.commons; from: org.pdfsam.ui.dashboard.about to: org.pdfsam.test; from: org.pdfsam.ui.dashboard.about to: org.pdfsam; from: org.pdfsam.ui.dashboard to: org.pdfsam.i18n; from: org.pdfsam.ui.dashboard to: org.pdfsam.ui.commons; from: org.pdfsam.ui.dashboard to: org.pdfsam.test; from: org.pdfsam.ui.dashboard to: org.pdfsam.ui.event; from: org.pdfsam.ui.dashboard to: org.pdfsam; from: org.pdfsam.ui.dashboard.modules to: org.pdfsam.i18n; from: org.pdfsam.ui.dashboard.modules to: org.pdfsam.ui.commons; from: org.pdfsam.ui.dashboard.modules to: org.pdfsam.test; from: org.pdfsam.ui.dashboard.preference to: org.pdfsam.i18n; from: org.pdfsam.ui.dashboard.preference to: org.pdfsam.support.validation; from: org.pdfsam.ui.dashboard.preference to: org.pdfsam.update; from: org.pdfsam.ui.dashboard.preference to: org.pdfsam.module; from: org.pdfsam.ui.dashboard.preference to: org.pdfsam.context; from: org.pdfsam.ui.dialog to: org.pdfsam.i18n; from: org.pdfsam.ui.dialog to: org.pdfsam.test; from: org.pdfsam.ui.dialog to: org.pdfsam.configuration; from: org.pdfsam.ui.dialog to: org.pdfsam.module; from: org.pdfsam.ui.dialog to: org.pdfsam.ui; from: org.pdfsam.ui.dialog to: org.pdfsam.ui.commons; from: org.pdfsam.ui.dialog to: org.pdfsam.pdf; from: org.pdfsam.ui.dnd to: org.pdfsam.i18n; from: org.pdfsam.ui.dnd to: org.pdfsam.pdf; from: org.pdfsam.ui.dnd to: org.pdfsam.ui.dialog; from: org.pdfsam.ui.dnd to: org.pdfsam.test; from: org.pdfsam.ui.info to: org.pdfsam.i18n; from: org.pdfsam.ui.info to: org.pdfsam.configuration; from: org.pdfsam.ui.info to: org.pdfsam.pdf; from: org.pdfsam.ui.log to: org.pdfsam.ui.support; from: org.pdfsam.ui.log to: org.pdfsam.i18n; from: org.pdfsam.ui.log to: org.pdfsam.ui.io; from: org.pdfsam.ui.log to: org.pdfsam.ui.commons; from: org.pdfsam.ui.log to: org.pdfsam.context; from: org.pdfsam.ui.news to: org.pdfsam.ui.commons; from: org.pdfsam.ui.news to: org.pdfsam.news; from: org.pdfsam.ui.news to: org.pdfsam.i18n; from: org.pdfsam.ui.workarea to: org.pdfsam.test; from: org.pdfsam.ui.workarea to: org.pdfsam.ui.commons; from: org.pdfsam.ui.workarea to: org.pdfsam.module; from: org.pdfsam.ui.workarea to: org.pdfsam.ui.event; from: org.pdfsam.merge to: org.pdfsam.i18n; from: org.pdfsam.merge to: org.pdfsam.pdf; from: org.pdfsam.rotate to: org.pdfsam.ui.support; from: org.pdfsam.rotate to: org.pdfsam.i18n; from: org.pdfsam.rotate to: org.pdfsam.pdf; from: org.pdfsam.split to: org.pdfsam.i18n; from: org.pdfsam.split to: org.pdfsam.support.validation; from: org.pdfsam.split to: org.pdfsam.ui.support; from: org.pdfsam.split to: org.pdfsam.support; from: org.pdfsam.split to: org.pdfsam.support.params; from: org.pdfsam.split to: org.pdfsam.ui.commons; from: org.pdfsam.splitbybookmarks to: org.pdfsam.support.validation; from: org.pdfsam.splitbybookmarks to: org.pdfsam.i18n; from: org.pdfsam.splitbybookmarks to: org.pdfsam.ui.support; from: org.pdfsam.splitbysize to: org.pdfsam.i18n; from: org.pdfsam.splitbysize to: org.pdfsam.ui.support; from: org.pdfsam.splitbysize to: org.pdfsam.support.validation.
.,org.pdfsam,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.pdfsam; org.pdfsam.ui
.,org.pdfsam,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.pdfsam; org.pdfsam.ui; org.pdfsam.ui.dashboard
.,org.pdfsam,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.pdfsam; org.pdfsam.ui.dialog; org.pdfsam.ui; org.pdfsam.ui.dashboard
.,org.pdfsam,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.pdfsam.ui.notification; org.pdfsam.ui.dialog; org.pdfsam.ui.module
.,org.pdfsam,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Cycles; TestCycles; Cycles; Cycles; Cycles; Cycles; Cycles; Cycles; Cycles; Cycles; Cycles]; [Pdfsam; PdfsamApp; WindowStatusController; WindowStatusControllerTest; Services]; [ShutdownEvent]; [NoHeadless]; [NoWindows]; [TestUtils; NotInstanceOf]; [InputPdfArgumentsController; InputPdfArgumentsControllerTest]; [OpenFileController]; [PdfsamConfig]; [UncaughtExceptionLogger]. LCC (Lack of Component Cohesion) = 0.38
.,org.pdfsam.module,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ClearUsageRequestEvent; ClearUsageControllerTest; ClearUsageController; ModuleServiceConfig; StatefulPreferencesUsageService; UsageService]; [Module; StatefulPreferencesUsageServiceTest; Config; ModuleDescriptor; ModuleDescriptorBuilder; ModuleDescriptorBuilderTest; ModuleUsage; PreferencesUsageDataStore; ModuleUsageTest; PreferencesUsageDataStoreTest]; [ModuleKeyValueItem; ModuleKeyValueItemTest]; [ModuleOwned]; [TaskExecutionRequestEvent]; [ModulePriorityTest]; [TaskExecutionRequestEventTest]. LCC (Lack of Component Cohesion) = 0.32
.,org.pdfsam.news,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.pdfsam.news; org.pdfsam
.,org.pdfsam.news,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.pdfsam
.,org.pdfsam.news,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [FetchLatestNewsRequest; LatestNewsControllerTest; LatestNewsEvent; LatestNewsEventTest; NewImportantNewsEvent; NewImportantNewsEventTest; NewsData; DefaultNewsService; DefaultNewsServiceTest; ShowNewsPanelRequest; LatestNewsController; NewsService]; [HideNewsPanelRequest]; [NewsServiceConfig]. LCC (Lack of Component Cohesion) = 0.21
.,org.pdfsam.pdf,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BaseFilesDroppedEvent; MultipleFilesDroppedEvent; SingleFileDroppedEvent; SingleFileDroppedEventTest]; [PdfDocumentDescriptor; PdfDocumentDescriptorTest; PdfLoadRequestEventTest; BookmarksLevelSAMBoxLoaderTest; DefaultSAMBoxLoaderTest; PdfLoadControllerTest; SAMBoxPdfLoadServiceTest; PdfFilesListLoadRequest; PdfFilesListLoadRequestTest; PdfLoadRequestEvent; PdfLoadController; PdfLoadService]; [PdfDocumentDescriptorProvider]; [BookmarksLevelSAMBoxLoader; PdfLoader]; [DefaultSAMBoxLoader]; [PdfListParser; PdfListParserTest]; [PdfServiceConfig]; [SAMBoxPdfLoadService]. LCC (Lack of Component Cohesion) = 0.33
.,org.pdfsam.premium,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.pdfsam.premium; org.pdfsam
.,org.pdfsam.premium,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.pdfsam
.,org.pdfsam.support,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.pdfsam
.,org.pdfsam.support,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [EncryptionUtils; EncryptionUtilsTest]; [KeyStringValueItem; KeyValueItem; LocaleKeyValueItem; KeyStringValueItemTest; LocaleKeyValueItemTest]; [ObservableAtomicReference]; [XmlUtils; XmlUtilsTest]; [ObservableAtomicReferenceTest]. LCC (Lack of Component Cohesion) = 0.45
.,org.pdfsam.support.params,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbstractParametersBuilder]; [AbstractPdfOutputParametersBuilder]; [ConversionUtils; ConversionUtilsTest]; [MultipleOutputTaskParametersBuilder]; [MultiplePdfSourceMultipleOutputParametersBuilder]; [SingleOutputTaskParametersBuilder]; [SinglePdfSourceMultipleOutputParametersBuilder]; [SinglePdfSourceTaskParametersBuilder]; [SplitParametersBuilder]; [TaskParametersBuildStep]. LCC (Lack of Component Cohesion) = 0.91
.,org.pdfsam.support.validation,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ContainedIntegerValidator; Validator; Validators; DirectoryValidatorTest; FileTypeValidatorTest; FileValidatorTest; IntegerStringValidatorTest; IntRangeStringValidatorTest; RegexValidatorTest; ValidatorsTest; FileTypeValidator; FileValidator; PositiveIntegerStringValidator; PositiveIntRangeStringValidator; PositiveIntegerValidator; RegexValidator]; [AlwaysInvalidStringTest]; [BlankStringDecoratorTest]; [ContainedIntegerValidatorTest]; [NonBlankStringValidatorTest]. LCC (Lack of Component Cohesion) = 0.25
.,org.pdfsam.task,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.pdfsam.task; org.pdfsam
.,org.pdfsam.task,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.pdfsam
.,org.pdfsam.task,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BulkRotateParameters]; [PdfRotationInput]; [BulkRotateParametersTest]; [PdfRotationInputTest]; [BulkRotateTask]; [TaskExecutionController]; [TaskEventBroadcaster]; [TaskExecutionServiceConfig]; [BulkRotateTaskTest]; [TaskExecutionControllerTest]. LCC (Lack of Component Cohesion) = 1.0
.,org.pdfsam.ui,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.pdfsam.ui; org.pdfsam; org.pdfsam.ui.dialog
.,org.pdfsam.ui,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.pdfsam; org.pdfsam.ui.workarea; org.pdfsam.ui.dashboard
